Municipality code;Municipality;Region
853;Turku;Southwest Finland
202;Kaarina;Southwest Finland
529;Naantali;Southwest Finland
680;Raisio;Southwest Finland
481;Masku;Southwest Finland
538;Nousiainen;Southwest Finland
704;Rusko;Southwest Finland
423;Lieto;Southwest Finland
019;Aura;Southwest Finland
480;Marttila;Southwest Finland
577;Paimio;Southwest Finland
738;Sauvo;Southwest Finland
445;Parainen;Southwest Finland
636;Pöytyä;Southwest Finland
503;Mynämäki;Southwest Finland
918;Vehmaa;Southwest Finland
833;Taivassalo;Southwest Finland
304;Kustavi;Southwest Finland
895;Uusikaupunki;Southwest Finland
400;Laitila;Southwest Finland
631;Pyhäranta;Southwest Finland
734;Salo;Southwest Finland
322;Kemiönsaari;Southwest Finland
761;Somero;Southwest Finland
284;Koski Tl;Southwest Finland
430;Loimaa;Southwest Finland
561;Oripää;Southwest Finland
